iter	Passed	Remaining
664	3070	1546
665	3073	1541
666	3076	1535
667	3078	1530
668	3081	1524
669	3083	1518
670	3086	1513
671	3089	1507
672	3092	1502
673	3095	1497
674	3098	1491
675	3101	1486
676	3104	1481
677	3107	1475
678	3109	1470
679	3112	1464
680	3114	1459
681	3117	1453
682	3120	1448
683	3123	1442
684	3125	1437
685	3128	1431
686	3130	1426
687	3133	1420
688	3135	1415
689	3138	1410
690	3141	1404
691	3143	1399
692	3146	1393
693	3148	1388
694	3151	1383
695	3154	1377
696	3156	1372
697	3159	1366
698	3161	1361
699	3163	1355
700	3166	1350
701	3169	1345
702	3171	1339
703	3173	1334
704	3176	1329
705	3179	1323
706	3181	1318
707	3184	1313
708	3187	1308
709	3189	1302
710	3192	1297
711	3195	1292
712	3198	1287
713	3200	1282
714	3203	1277
715	3206	1271
716	3209	1266
717	3212	1261
718	3214	1256
719	3217	1251
720	3220	1246
721	3223	1241
722	3225	1235
723	3227	1230
724	3230	1225
725	3233	1220
726	3236	1215
727	3238	1210
728	3241	1204
729	3243	1199
730	3246	1194
731	3249	1189
732	3251	1184
733	3254	1179
734	3256	1174
735	3259	1169
736	3261	1163
737	3264	1158
738	3266	1153
739	3269	1148
740	3271	1143
741	3274	1138
742	3277	1133
743	3279	1128
744	3283	1123
745	3285	1118
746	3288	1113
747	3291	1108
748	3294	1104
749	3297	1099
750	3300	1094
751	3302	1089
752	3305	1084
753	3307	1079
754	3309	1074
755	3312	1069
756	3315	1064
757	3318	1059
758	3321	1054
759	3323	1049
760	3327	1044
761	3330	1040
762	3332	1035
763	3335	1030
764	3338	1025
765	3340	1020
766	3343	1015
767	3345	1010
768	3348	1005
769	3351	1001
770	3354	996
771	3356	991
772	3359	986
773	3362	981
774	3364	976
775	3367	972
776	3369	967
777	3372	962
778	3374	957
779	3377	952
780	3380	947
781	3383	943
782	3386	938
783	3388	933
784	3391	928
785	3394	924
786	3397	919
787	3400	914
788	3403	910
789	3405	905
790	3408	900
791	3410	895
792	3413	891
793	3416	886
794	3419	881
795	3422	877
796	3424	872
797	3427	867
798	3430	863
799	3433	858
800	3436	853
801	3438	848
802	3441	844
803	3444	839
804	3447	835
805	3449	830
806	3452	825
807	3455	820
808	3457	816
809	3460	811
810	3463	807
811	3465	802
812	3468	797
813	3470	793
814	3473	788
815	3476	783
816	3478	779
817	3481	774
818	3483	769
819	3486	765
820	3488	760
821	3491	756
822	3494	751
823	3496	746
824	3499	742
825	3501	737
826	3504	733
827	3506	728
828	3509	723
829	3512	719
830	3514	714
831	3517	710
832	3519	705
833	3522	701
834	3525	696
835	3528	692
836	3530	687
837	3533	683
838	3536	678
839	3538	674
840	3541	669
841	3544	665
842	3546	660
843	3549	655
844	3551	651
845	3554	647
846	3557	642
847	3560	638
848	3562	633
849	3565	629
850	3568	624
851	3571	620
852	3573	615
853	3576	611
854	3579	607
855	3582	602
856	3584	598
857	3588	593
858	3591	589
859	3593	585
860	3596	580
861	3598	576
862	3601	571
863	3605	567
864	3608	563
865	3610	558
866	3613	554
867	3615	549
868	3618	545
869	3620	541
870	3623	536
871	3626	532
872	3628	527
873	3631	523
874	3633	519
875	3636	514
876	3638	510
877	3641	505
878	3643	501
879	3646	497
880	3648	492
881	3651	488
882	3655	484
883	3657	479
884	3660	475
885	3663	471
886	3666	467
887	3669	462
888	3672	458
889	3675	454
890	3677	449
891	3680	445
892	3682	441
893	3685	437
894	3688	432
895	3691	428
896	3694	424
897	3697	419
898	3700	415
899	3704	411
900	3707	407
901	3709	403
902	3712	398
903	3714	394
904	3717	390
905	3720	386
906	3723	381
907	3726	377
908	3729	373
909	3732	369
910	3734	364
911	3737	360
912	3740	356
913	3742	352
914	3745	347
915	3748	343
916	3751	339
917	3753	335
918	3756	331
919	3759	326
920	3761	322
921	3764	318
922	3767	314
923	3769	310
924	3772	305
925	3775	301
926	3777	297
927	3779	293
928	3782	289
929	3785	284
930	3788	280
931	3790	276
932	3793	272
933	3795	268
934	3799	264
935	3801	259
936	3804	255
937	3806	251
938	3809	247
939	3812	243
940	3814	239
941	3817	235
942	3819	230
943	3822	226
944	3825	222
945	3827	218
946	3830	214
947	3832	210
948	3835	206
949	3838	202
950	3840	197
951	3843	193
952	3846	189
953	3849	185
954	3852	181
955	3854	177
956	3857	173
957	3859	169
958	3862	165
959	3865	161
960	3867	156
961	3870	152
962	3872	148
963	3875	144
964	3878	140
965	3880	136
966	3883	132
967	3885	128
968	3888	124
969	3891	120
970	3894	116
971	3897	112
972	3900	108
973	3902	104
974	3905	100
975	3908	96
976	3910	92
977	3913	88
978	3916	84
979	3919	79
980	3921	75
981	3923	71
982	3926	67
983	3929	63
984	3932	59
985	3934	55
986	3937	51
987	3939	47
988	3942	43
989	3945	39
990	3948	35
991	3950	31
992	3953	27
993	3956	23
994	3959	19
995	3962	15
996	3964	11
997	3967	7
998	3969	3
999	3972	0
